Category,Sub Category,Name,upc from pricebook,price ,Images,,,,,,,SKU,Description
Beer,Hard Tea,Twisted Tea Peach Can (24 oz),87692004905,5٫99,https://drive.google.com/uc?id=1DMFPjgypl9jCfN4COCuSsRZTji13TAGn,,,,,,,BP-BEE-24OZ-10058,"Twisted Tea Peach Can (24 oz) represents clean quality at $5.99. Crafted with care, priced to share. Order now for same-day delivery."
Beer,Import Beer,Amstel Light Bottles (12 oz x 12 ct),72890100160,25٫99,https://drive.google.com/uc?id=1PT3C32Xs0mV-_wztl07ZtCM3YAi86dHi,,,,,,,BP-BEE-12OZ-10059,Date night perfect: Amstel Light Bottles (12 oz x 12 ct) at $25.99. This clean beer never disappoints. Fast delivery to your neighborhood.
Beer,Import Beer,Amstel Light Bottles (12 oz x 6 ct),72890100115,14٫99,https://drive.google.com/uc?id=1PwynC3OF2Cswe4SmocvLOBhHXsPhlNZh,,,,,,,BP-BEE-12OZ-10060,Indulge in Amstel Light Bottles (12 oz x 6 ct) – this bright beer ($14.99) is a crowd-pleaser. Order now for next-hour delivery.
Beer,Import Beer,Asahi Super Dry Bottles (11 oz x 6 ct),38766361202,14٫99,https://drive.google.com/uc?id=1VsF2OB_4r7DwLtLeytr50BdPiGveXflf,,,,,,,BP-BEE-11OZ-10061,Shop Asahi Super Dry Bottles (11 oz x 6 ct) online – $14.99 with near you. This bright beer satisfies every time. Shop online – pickup in-store today.
Beer,Import Beer,Beck's Bottles (12 oz x 6 ct),82488123006,17٫99,https://drive.google.com/uc?id=17FzW7qsQCN51tcE4-DbdCHfHZwqzpzLw,,,,,,,BP-BEE-12OZ-10062,Beck's Bottles (12 oz x 6 ct) brings crisp refreshment at $17.99. The trusted choice. Fast delivery to your neighborhood.
Beer,Import Beer,Beck's NA Bottles (12 oz x 6 ct),82488127004,12٫99,https://drive.google.com/uc?id=127DLiK1nM4GKdYCtYU9KUgDy3dINTh2l,,,,,,,BP-BEE-12OZ-10063,Shop Beck's NA Bottles (12 oz x 6 ct) online – $12.99 with in your area. This refreshing beer satisfies every time. Available for immediate pickup.
Beer,Import Beer,Carta Blanca Bottle (32 oz),89826000043,3٫99,https://drive.google.com/uc?id=15Nm6hiqJ46SMSF-FBRnB2YInJHbwSEXe,,,,,,,BP-BEE-32OZ-10064,Shop Carta Blanca Bottle (32 oz) online – $3.99 with quick delivery. This bright beer satisfies every time. Fast delivery to your neighborhood.
Beer,Import Beer,Corona Extra Bottles (12 oz x 12 ct),80660956053,13٫99,https://drive.google.com/uc?id=101FRaSrHsuzfoThmWbg2XM02ep04OC0e,,,,,,,BP-BEE-12OZ-10065,Shop Corona Extra Bottles (12 oz x 12 ct) online – $13.99 with near you. This refreshing beer satisfies every time. Available for immediate pickup.
Beer,Import Beer,Corona Extra Bottles (12 oz x 18 ct),80660956800,35٫99,https://drive.google.com/uc?id=1-4CduQB24KYuquOSxLIJIWqX4jn2S20K,,,,,,,BP-BEE-12OZ-10066,"Quality ingredients, proper process: Corona Extra Bottles (12 oz x 18 ct) is $35.99. Crisp results guaranteed. Shop online – pickup in-store today."
Beer,Import Beer,Corona Extra Bottles (12 oz x 24 ct),80660956084,41٫99,https://drive.google.com/uc?id=1w4thyqFoJGehRtQ2tuqZKVQds4tb7NnT,,,,,,,BP-BEE-12OZ-10067,"Golden, smooth, refreshing: Corona Extra Bottles (12 oz x 24 ct) for $41.99. Cold beer satisfaction delivered. Order now for same-day delivery."
Beer,Import Beer,Corona Extra Bottles (12 oz x 6 ct),80660956251,13٫99,,,,,,,,BP-BEE-12OZ-10068,Shop Corona Extra Bottles (12 oz x 6 ct) online – $13.99 with fast shipping. This bright beer satisfies every time. Order online for curbside pickup.
Beer,Import Beer,Corona Extra Can (24 oz),80660956435,5٫99,https://drive.google.com/uc?id=1TW-SU0kx_d8Paev8hshzHQuLDQgUZPC-,,,,,,,BP-BEE-24OZ-10069,"Quality ingredients, proper process: Corona Extra Can (24 oz) is $5.99. Crisp results guaranteed. Order now for next-hour delivery."
Beer,Import Beer,Corona Extra Cans (24 oz x 3 ct),33544950371,13٫99,https://drive.google.com/uc?id=1Ch50Gbx-GwFLmkKz_tKXTE_ymlo0Dy23,,,,,,,BP-BEE-24OZ-10070,"Looking for bright beer near you? Corona Extra Cans (24 oz x 3 ct) delivers with $13.99 pricing. Refreshment that won't break the bank. Buy online, enjoy tonight."
Beer,Import Beer,Corona Familiar Bottle (32 oz),80660956831,5٫99,https://drive.google.com/uc?id=1bL8tohczyGkifArDHUjbeJuxK3PyqyLk,,,,,,,BP-BEE-32OZ-10071,Stock up on Corona Familiar Bottle (32 oz) – this easy-drinking beer ($5.99) is a social lubricant. Order now for same-day delivery.
Beer,Import Beer,Corona Familiar Bottles (12 oz x 12 ct),33544950531,24٫99,https://drive.google.com/uc?id=1QXVS3SUiEnix8f0v9X78lr6wcPxswFmd,,,,,,,BP-BEE-12OZ-10072,Looking for light-bodied beer quick delivery? Corona Familiar Bottles (12 oz x 12 ct) delivers with $24.99 pricing. Refreshment that won't break the bank. In stock – order for delivery today.
Beer,Import Beer,Corona Familiar Bottles (12 oz x 6 ct),33544950517,13٫99,https://drive.google.com/uc?id=10kd0IRGe8_Ne_eDKj4oBMNq3afrbJeDF,,,,,,,BP-BEE-12OZ-10073,Get sessionable flavor without premium pricing – Corona Familiar Bottles (12 oz x 6 ct) is just $13.99. Stock up for the weekend. In stock – order for delivery today.
Beer,Import Beer,Corona Light Bottles (12 oz x 6 ct),80660956251,13٫99,https://drive.google.com/uc?id=184YLx9PJTAXePYy1IkRPjESM1fZwlSKi,,,,,,,BP-BEE-12OZ-10074,Stock up on Corona Light Bottles (12 oz x 6 ct) – this clean beer ($13.99) is a game day must-have. Order now for same-day delivery.
Beer,Import Beer,Corona Premier Bottles (12 oz x 6 ct),33544950401,1٫99,https://drive.google.com/uc?id=1M-cvVXficyyCfegYIGWE8bRpTe1Zq3e8,,,,,,,BP-BEE-12OZ-10075,Bring to the party Corona Premier Bottles (12 oz x 6 ct) – this smooth beer ($1.99) is a weeknight unwind. Get it delivered to your door.
Beer,Import Beer,Corona Premier Can (24 oz),33544950470,5٫99,,,,,,,,BP-BEE-24OZ-10076,"Get bright flavor without premium pricing – Corona Premier Can (24 oz) is just $5.99. Single purchase, multiple smiles. Delivered fresh to your doorstep."
Beer,Import Beer,Corona Premier Cans (12 oz x 12 ct),80660956954,24٫99,https://drive.google.com/uc?id=1F8BOIRdC6H_5OJl5eQc7C2a4eWB5hxgB,,,,,,,BP-BEE-12OZ-10077,"Corona Premier Cans (12 oz x 12 ct) brings easy-drinking refreshment at $24.99. The reliable choice. Buy online, enjoy tonight."
Beer,Import Beer,Corona Premier Lager Bottles (12 oz x 12 ct),33544950425,24٫99,https://drive.google.com/uc?id=1cukqMDzne-5bmCNHNQpdHRcGwftd3bgi,,,,,,,BP-BEE-12OZ-10078,Stock up special: Corona Premier Lager Bottles (12 oz x 12 ct) is just $24.99. Multiple units of refreshing quality. Available neighborhood liquor store. Fast delivery to your neighborhood.
